review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"Untuk sekarang ini gratis ongkir nya ga berlaku atau sama aja bo'ong,klo pembayaran menggunakan payleater,s&k juga sama aja ,vocher gratis ongkir ga berlaku klo pake payleater....,shoopie ga kaya sblm nya aturan nya udah jelek sekarang",1,0,gratis ongkir bo ong bayar payleater vocher gratis ongkir pake payleater shoopie kaya sblm atur,14,1.0,0.8157,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['gratis', 'ongkir', 'bo', 'ong', 'bayar', 'payleater', 'vocher', 'gratis', 'ongkir', 'pakai', 'payleater', 'shoopie', 'kaya', 'sblm', 'atur']"
"Kecewa dgn buka lapak,,, Beli barang,barang belum di terima tapi di pembelian barang sudah sampai,,, di komplain ga ada hasil,malah suruh tlp sendiri ke pihak kurir padahal kan tugas penyedia layanan untuk mmpertanyaka status barang di kurir,,, Masa ngusut barang di kurir ampe berhari2 ga tau barang di mana,kurir ada kantor ny ada data,kalo klaim kurir udah di berikan,,, mana bukti tanda terima dan tanda kalo pihak kurir menelpon atau mnginfokan ke pemesan bahwa barang datang.",1,0,beli barang barang beli barang komplain hasil suruh tlp kurir tugas sedia layan mmpertanyaka status barang kurir ngusut barang kurir ampe tau barang kurir kantor ny data klaim kurir ikan bukti tanda tanda kurir telpon mnginfokan mes barang,15,0.0,0.5629,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['beli', 'barang', 'barang', 'beli', 'barang', 'komplain', 'hasil', 'suruh', 'telepon', 'kurir', 'tugas', 'sedia', 'layan', 'mmpertanyaka', 'status', 'barang', 'kurir', 'ngusut', 'barang', 'kurir', 'ampe', 'tahu', 'barang', 'kurir', 'kantor', 'ny', 'data', 'klaim', 'kurir', 'ikan', 'bukti', 'tanda', 'tanda', 'kurir', 'telpon', 'mnginfokan', 'mes', 'barang']"
"Udah daftar, bisa log in. Input alamat, provinsinya tiap di klik tulisanya error jaringan. Padahal full signal. Payah, Benci aplikasi ini",1,0,daftar log input alamat provinsi klik tulisanya error jaring full signal benci aplikasi,16,2.0,0.9973,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['daftar', 'log', 'input', 'alamat', 'provinsi', 'klik', 'tulisanya', 'error', 'jaring', 'full', 'signal', 'benci', 'aplikasi']"
"Banyak penjual yg hoax, admin mohon diperhatikan maaf uninstall",1,0,jual hoax admin perhati maaf uninstall,17,2.0,0.995,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['jual', 'hoax', 'admin', 'perhati', 'maaf', 'uninstall']"
banyak drama...ga sesuai..event .flashle.ga sesuai..gratis ongkir cuman bahasa marketing.knytaan pake shpe pay ttep aja bayar ongkir..,1,0,drama sesuai event flashle sesuai gratis ongkir cuman bahasa marketing knytaan pake shpe pay bayar ongkir,18,1.0,0.4228,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['drama', 'sesuai', 'event', 'flashle', 'sesuai', 'gratis', 'ongkir', 'cuman', 'bahasa', 'marketing', 'knytaan', 'pakai', 'shpe', 'bayar', 'bayar', 'ongkir']"
Saya agak merasa kecewa dengan voucher gratis ongkir pengguna baru... Padahal saya udah punya 3 akun dan setiap jadi pengguna baru kalo pakai voucher gratis ongkir selalu terpotong semua ongkirnya... Tp kok sekarang saya buat akun baru . Saya coba checkout kepotongnya cuma 10rb ongkirnya??? Saya kecewa min,2,0,voucher gratis ongkir akun pakai voucher gratis ongkir potong ongkirnya akun checkout potong rb ongkirnya,19,1.0,0.8582,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['voucher', 'gratis', 'ongkir', 'akun', 'pakai', 'voucher', 'gratis', 'ongkir', 'potong', 'ongkir', 'akun', 'checkout', 'potong', 'ribu', 'ongkir']"
Berkali2 sy download tp tdk bs terinstal. Pdhl sy mau beli pulsa pake shopeepay,1,0,download terinstal pdhl beli pulsa pake shopeepay,20,2.0,0.995,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['unduh', 'terinstal', 'pdhl', 'beli', 'pulsa', 'pakai', 'ewallet']"
Saya suka bngt belanja d lazada..kurirnya ramah....brng dtng tepat waktu ..kmsn rapi,1,0,belanja kurir ramah brng dtng kmsn rapi,21,0.0,0.55,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['belanja', 'kurir', 'ramah', 'brng', 'dtng', 'kmsn', 'rapi']"
IT nya parah...kerjasama nya dgn costumer ga baik..janji 3hari utk complain tp nelp berkali kali tetap ga ada solusi,1,0,it kerjasama costumer janji utk complain nelp solusi,22,2.0,0.7266,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['it', 'kerjasama', 'costumer', 'janji', 'untuk', 'complain', 'nelp', 'solusi']"
"Saya ralat jadi 1 bintang, maksud hati pesan untuk kado anakku saya pilih pengiriman paling cepat, eh sampai hari ini sudah 4 hari ga nyampe nyampe, malah tiba2 pesanan sudah selesai padahal barang belum nyampe, kecewa, padahal saya baru seneng pake tokopedia karna cashback nya, kalo udah gini entah lah pake lagi atau ngga,",1,0,ralat bintang hati pesan kado anak pilih kirim cepat nyampe nyampe pesan barang nyampe neng pake cashback gin pake,23,0.0,0.56,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['ralat', 'bintang', 'hati', 'pesan', 'kado', 'anak', 'pilih', 'kirim', 'cepat', 'nyampe', 'nyampe', 'pesan', 'barang', 'nyampe', 'neng', 'pakai', 'cashback', 'gin', 'pakai']"
Ilangin banner popup kotak kejutan di UI nya! Ngeganggu tau! Jelek!,1,0,ilangin banner popup kotak kejut ui ngeganggu tau,24,2.0,0.4742,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['ilangin', 'banner', 'popup', 'kotak', 'kejut', 'ui', 'ngeganggu', 'tahu']"
Penbohong masa belum sampai 2 detik udah naik harganya lagi,1,0,penbohong detik harga,25,0.0,0.4951,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['penbohong', 'detik', 'harga']"
Maap y kak aku kasih bintang 2 karena Shopee harus di benerin bug nya aku terkena bug nya terus ga bisa belanja lagi di Shopee mohon maaf yaaa ????thx,2,0,maap bintang benerin bug bug belanja maaf yaaa,26,1.0,0.995,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['maap', 'bintang', 'benerin', 'bug', 'bug', 'belanja', 'maaf', 'yaaa']"
"Lemot banget sih aplikasinya, suka ngefreeze padahal sinyal storage aman.. huh",1,0,lot aplikasi ngefreeze sinyal storage aman huh,27,2.0,0.5972,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['lemot', 'aplikasi', 'ngefreeze', 'sinyal', 'storage', 'aman', 'huh']"
"Maaf dana saya kok tidak dikembalikan ya?! 143k total belanja 188k lalu saya cancel dan yang dikembalikan hanya 45k saja, yang 143k blm dikembalikan, tetapi di sistem ada keterangan pengembalian dana berhasil, saya coba hubungi CS no respon?! Anda kembalikan kemana dana saya?",1,0,maaf dana total belanja cancel sistem terang dana hasil hubung cs no respon dana,28,2.0,0.8337,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['maaf', 'dana', 'total', 'belanja', 'cancel', 'sistem', 'terang', 'dana', 'hasil', 'hubung', 'customer service', 'no', 'respon', 'dana']"
"Bertahun tahun pake buka lapak pelayanannya bagus ,sekarang malah terlalu melingdungi pelapak, penilaian jelek ke pelapak pun akan di hapus oleh pihak BL, jadi seolah semuanya bagus dari pelapaknya hingga pemikiran orang yg belanja di BL mungkin penyedia layanan belanja online dsni bagus juga,",1,0,pake layan melingdungi nilai hapus bl olah pikir belanja bl sedia layan belanja online dsni,29,0.0,0.3794,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['pakai', 'layan', 'melingdungi', 'nilai', 'hapus', 'beli', 'olah', 'pikir', 'belanja', 'beli', 'sedia', 'layan', 'belanja', 'online', 'dsni']"
"Lazada marketplace gk jelas, pengiriman dalam aplikasinya tdk jelas, membagongkan.",1,0,marketplace kirim aplikasi bagong,30,0.0,0.6612,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['marketplace', 'kirim', 'aplikasi', 'bagong']"
Payah susah melakukan pembayaran Dengan menggunakan saldo di tokped,1,0,susah bayar saldo,31,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['susah', 'bayar', 'saldo']"
Bisa isi saldo gak bisa buat pesen barang gimana sih eror eror mulu,1,0,isi saldo sen barang eror eror mulu,32,2.0,0.8317,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['isi', 'saldo', 'sen', 'barang', 'eror', 'eror', 'melulu']"
"Sumpah kecewa banget. Beli tv aoyama di melalui jd.id ditoko Mega Elektronik n Furnitur. Dikirimnya barang bekas. Ketika dicoba tv berbau angus, layar tv ada merah merahnya dan bergaris garis,timbul suara nut nuuut dan samping tv ada celahnya. Kondisi kardus juga seperti barang bekas. Heran ajah kenapa seller seperti ini bisa lolos di jd. Id. Semoga ajah barang bisa di refund. Karna rugi juga. Biasanya beli di market placr lain selalu bagus. Hati hati yang mau belanja elektronik.jgn ditoko tsb..",2,0,beli tv aoyama toko mega elektronik furnitur kirim barang bekas tv bau angus layar tv merah merah gar garis timbul suara nut nuuut samping tv celah kondisi kardus barang bekas heran seller lolos barang refund rugi beli market placr hati hati belanja elektronik jgn toko tsb,33,2.0,0.6424,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['beli', 'tv', 'aoyama', 'toko', 'mega', 'elektronik', 'furnitur', 'kirim', 'barang', 'bekas', 'tv', 'bau', 'angus', 'layar', 'tv', 'merah', 'merah', 'gar', 'garis', 'timbul', 'suara', 'nut', 'nuuut', 'samping', 'tv', 'celah', 'kondisi', 'kardus', 'barang', 'bekas', 'heran', 'seller', 'lolos', 'barang', 'refund', 'rugi', 'beli', 'market', 'placr', 'hati', 'hati', 'belanja', 'elektronik', 'jangan', 'toko', 'tsb']"
Kepada pihak sopi jangan iklan kan sopi di hp saya saya lagi maen jadi kalah tolol,1,0,iklan hp maen kalah,34,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['iklan', 'handphone', 'main', 'kalah']"
"Shopee nya jelek susah dibukak aplikasinya klap klip aja Berat dikit dikit ramadan sale kalo ngak aplikasinya tertutup sendiri, mau belanja aja susah banget, merasa terganggu jadi males buka shoppe lagi kecewa banget,",1,0,susah dibukak aplikasi klap klip berat dikit dikit ramadan sale aplikasi tutup belanja susah ganggu males,35,2.0,0.7676,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['susah', 'dibukak', 'aplikasi', 'klap', 'klip', 'berat', 'dikit', 'dikit', 'ramadan', 'sale', 'aplikasi', 'tutup', 'belanja', 'susah', 'ganggu', 'males']"
di shopee barangnya pada mahal semua,1,0,barang mahal,36,0.0,0.4951,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['barang', 'mahal']"
JGN IKLAN MULU AJG,1,0,jgn iklan mulu,37,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['jangan', 'iklan', 'melulu']"
Tolong dunk di tokopedia bisa pilih jasa kirimm.....di toko shope bs pilih jasa kirim..ini di toopedia knp rata2 pengiriman di oper ke anteraja ya??..lelet bgt kirimny ..masa iya jkt jkt 3 hari si,2,0,tolong pilih jasa kirimm toko pilih jasa kirim toopedia kirim oper anteraja lelet kirimny jkt jkt,38,1.0,0.8582,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['tolong', 'pilih', 'jasa', 'kirimm', 'toko', 'pilih', 'jasa', 'kirim', 'toopedia', 'kirim', 'oper', 'anteraja', 'lambat', 'kirimny', 'jakarta', 'jakarta']"
Kerja tim penilai produk tidak profesional. Diskriminatif. Sangat mengecewakan,1,0,tim nilai produk profesional diskriminatif,39,0.0,0.745,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['tim', 'nilai', 'produk', 'profesional', 'diskriminatif']"
Deploper tolong perbaiki lg .segi pasilitas bonus koin saya berbelanja menggunakan koin dan bonus harga tidak berkurang malah naik,1,0,deploper tolong lg segi pasilitas bonus koin belanja koin bonus harga,40,1.0,0.5254,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['deploper', 'tolong', 'lagi', 'segi', 'pasilitas', 'bonus', 'koin', 'belanja', 'koin', 'bonus', 'harga']"
Hapus aja lah app ini dari playstore.,1,0,hapus app playstore,41,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['hapus', 'aplikasi', 'playstore']"
"Kenapa ya, sertifikat saya di skill akademi yg saya beli dari sini gak muncul di prakerja saya",2,0,sertifikat skill akademi beli muncul,42,3.0,0.5424,"belanja, aplikasi, mudah, bantu, online, sukses, rumah, butuh, beli, cari","['sertifikat', 'skill', 'akademi', 'beli', 'muncul']"
"Aneh saya udah 2 kali pesan barang, tapi pengiriman barang gagal, Tolong dan mohon di perbaiki semuanya, kecewa bangett saya, Berhari hari saya menunggu, sekalinya tiba bikin saya kecewa beratt",1,0,aneh pesan barang kirim barang gagal tolong bangett tunggu bikin beratt,43,2.0,0.5152,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['aneh', 'pesan', 'barang', 'kirim', 'barang', 'gagal', 'tolong', 'bangett', 'tunggu', 'bikin', 'beratt']"
"Kebnyakan update, tiap minggu update, udh gitu lemot nya minta ampun cari barang aj harus nunggu bbrpa menit baru kebuka barang nya,",2,0,kebnyakan update minggu update lot ampun cari barang nunggu menit barang,44,2.0,0.7978,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['kebnyakan', 'update', 'minggu', 'update', 'lemot', 'ampun', 'cari', 'barang', 'tunggu', 'menit', 'barang']"
Banyak toko penipu.. harus nya system nya samain kaya shopie.. bisa dikembalikan barang nya.. trus aplikasi ni kalo ga di update malah masuk ke iG iklan nya tanpa da pemberitahuan windows kttup iklan bagaikan ikan lapar nyamberin trus ??,1,0,toko tipu system samain kaya shopie barang aplikasi update ig iklan da pemberitahuan windows kttup iklan ikan lapar nyamberin,45,2.0,0.9083,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['toko', 'tipu', 'sistem', 'samain', 'kaya', 'shopie', 'barang', 'aplikasi', 'update', 'instagram', 'iklan', 'da', 'pemberitahuan', 'windows', 'kttup', 'iklan', 'ikan', 'lapar', 'nyamberin']"
"Kepada pihak Tokopedia saya mau nanya nih, Saya tadi kan jam 6 lewat ada SMS masuk dari pihak Tokopedia katanya saya mendapatkan hadiah sebesar 15 juta dengan syarat saya harus isi pulsa Rp300.000 dan harus fotokopi nomor rekening saya dan Apa betul dari pihak Tokopedia kah",1,0,nanya jam sms hadiah juta syarat isi pulsa rp fotokopi nomor rekening kah,46,2.0,0.6559,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['bertanya', 'jam', 'sms', 'hadiah', 'juta', 'syarat', 'isi', 'pulsa', 'rp', 'fotokopi', 'nomor', 'rekening', 'kah']"
"Spaylaterku tak bisa di gunakan, pdhal smua sudah lunas & bayar tepat wktu ?? Menjengkel kan ??",1,0,spaylaterku pdhal lunas bayar wktu jengkel,47,1.0,0.745,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['spaylaterku', 'pdhal', 'lunas', 'bayar', 'wktu', 'jengkel']"
ini lazada ada masalah apa ya? udah 2 kali aku dikirim paket yang aku ga pesen. mana sistem cod. aplikasinya aja udah di hapus. tolong ya pihak lazada,1,0,kirim paket sen sistem cod aplikasi hapus tolong,48,2.0,0.7055,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['kirim', 'paket', 'sen', 'sistem', 'cod', 'aplikasi', 'hapus', 'tolong']"
Sy sdah donlod dan ajk 1 org .orgnya sdh donlod tp hadiah gk bs d tarik .hufffff...,1,0,sdah donlod ajk org orgnya donlod hadiah tarik hufffff,49,2.0,0.7902,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['sdah', 'donlod', 'ajk', 'orang', 'orgnya', 'donlod', 'hadiah', 'tarik', 'hufffff']"
Saya nggak ada pesan barang malah dikirim,1,0,pesan barang kirim,50,0.0,0.9901,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['pesan', 'barang', 'kirim']"
Aku gak bisa download karena memori penuh ??????????????????????????????????????,1,0,download memori penuh,51,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['unduh', 'memori', 'penuh']"
Sekarang pelit gak di kasih gratis ongkir di sistem COD nya,1,0,pelit gratis ongkir sistem cod,52,1.0,0.7956,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['pelit', 'gratis', 'ongkir', 'sistem', 'cod']"
"Barang tidak di kirim, dana tidak di kembalikan. Tokopedia lebih bagus dari bukalapak sekarang!",1,0,barang kirim dana,53,0.0,0.6612,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['barang', 'kirim', 'dana']"
Aplikasinya beratbngt ga kya apk yg lain lebih ringan,2,0,aplikasi beratbngt kya apk ringan,54,2.0,0.745,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['aplikasi', 'beratbngt', 'kya', 'aplikasi', 'ringan']"
Ternyata ngak ada solusi !!! untuk pengunaan satu akun yang digunakan untuk pembelian id yang berbeda dalam prakerja. Ya sudah saya kasih satu bintang. Nanti kalau sudah bisa diatasi saya kasih 5. Terima kasih!!!,1,0,solusi pengunaan akun beli beda bintang,55,2.0,0.994,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['solusi', 'pengunaan', 'akun', 'beli', 'beda', 'bintang']"
"Kenapa sih shopee di tempatku gapernah sampai rumah, pasti kurirnya ngajak ketemuan, jauh terus harus nunggu juga, lama-lama capek min, terus kalo gk ketemuan pasti paket di retur.",1,0,gapernah rumah kurir ngajak ketemu nunggu capek ketemu paket retur,56,0.0,0.4276,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['gapernah', 'rumah', 'kurir', 'ngajak', 'ketemu', 'tunggu', 'capek', 'ketemu', 'paket', 'retur']"
Lazada mulai banyak toko2 penipu lagi Saya 3x ketipu berturut2,1,0,toko tipu tipu,57,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['toko', 'tipu', 'tipu']"
Abis diupdate jdi lemot buanget,1,0,abis diupdate lot buanget,58,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['habis', 'diupdate', 'lemot', 'buanget']"
"Abis update kok lemot sihh woiii!!!!!, Ini shoppenya kok lemot sihh???!!!!!! Padahalll internet sayaa lancarr banget ga ada kendalaaa tp buka shoppe lemotnya minta ampun dan jugaaa padahal udah saya update ga makin bagus malah makin kek gini tolongg di benerinnnn secepatnyaaa!!!!!!!!!!!",1,0,abis update lot sihh shoppenya lot sihh padahalll internet sayaa lancarr kendalaaa lot ampun jugaaa update kek gin tolongg benerinnnn secepatnyaaa,59,2.0,0.8188,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['habis', 'update', 'lemot', 'sihh', 'shoppenya', 'lemot', 'sihh', 'padahalll', 'internet', 'sayaa', 'lancarr', 'kendalaaa', 'lemot', 'ampun', 'jugaaa', 'update', 'seperti', 'gin', 'tolongg', 'benerinnnn', 'secepatnyaaa']"
Kenapa toko2 di lazada .Skr Banyak toko tipu2 .. pihak lazada tidak mampu seleksi toko alien lagi kah .... gak nyaman,1,0,toko skr toko tipu seleksi toko alien kah nyaman,60,0.0,0.5655,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['toko', 'skr', 'toko', 'tipu', 'seleksi', 'toko', 'alien', 'kah', 'nyaman']"
Kalau bisa perbaiki jasa pengiriman barang ko sekarang tumben2 lemot dan lambat,1,0,jasa kirim barang lot,61,0.0,0.4793,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['jasa', 'kirim', 'barang', 'lemot']"
Shope q udah 4 hari ini gk bisa dibuka katanya suruh hpus chace udah tetep ak gk bisa trys suruh uninstal juga udah tp tetep sama gk bisal blnja lihat notivikasi bisa tp yg lain gk bisa kebuka semuanya pdhl data lancar,1,0,suruh hpus chace tetep trys suruh uninstal tetep bisal blnja notivikasi pdhl data lancar,62,2.0,0.8875,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['suruh', 'hapus', 'chace', 'tetep', 'trys', 'suruh', 'uninstal', 'tetep', 'bisal', 'blnja', 'notivikasi', 'pdhl', 'data', 'lancar']"
Cara pakai vocer shopee harus pakai shope pay gitu?,2,0,pakai vocer pakai pay,63,1.0,0.9926,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['pakai', 'voucher', 'pakai', 'bayar']"
"tidak di jamin ori (saya perna beli memory tp br beberapa hari udah rusak) live chat jarang di balas, sekalinya di balas lama.",1,0,jamin ori perna beli memory br rusak live chat jarang balas balas,64,0.0,0.4816,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['jamin', 'asli', 'perna', 'beli', 'memory', 'baru', 'rusak', 'live', 'chat', 'jarang', 'balas', 'balas']"
"Gratis ongkir yang pake kurir anter aja ampun, butuh waktu 2 minggu",1,0,gratis ongkir pake kurir anter ampun butuh minggu,65,1.0,0.8719,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['gratis', 'ongkir', 'pakai', 'kurir', 'antar', 'ampun', 'butuh', 'minggu']"
Aku turun bintangnya soalnya VOC gak bisa dipake knpa sihh!!!,2,0,turun bintang voc dipake knpa sihh,66,1.0,0.9926,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['turun', 'bintang', 'voc', 'dipake', 'kenapa', 'sihh']"
