"review","rating","sentiment","review_processed","document_no","dominant_topic","Label","topic_perc_contrib","keywords","Text"
Saya pakai aplikasi ini menjadi leg dihp saya jadi sia� saya memasukan barang kekeranjangnya shopee. Dan kalau masuk lagi keluar lagi nggak mau dibeli apa gimana shopee ini...?,1,0,pakai aplikasi leg dihp sia pasu barang keranjang beli,424,0,0,0.4587,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['pakai', 'aplikasi', 'leg', 'dihp', 'sia', 'pasu', 'barang', 'keranjang', 'beli']"
Terima kasih lazada saya kalau belanja online menggunakan aplikasi lazada walau ada aplikasi yang lain,3,1,belanja online aplikasi aplikasi,553,0,0,0.4514,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['belanja', 'online', 'aplikasi', 'aplikasi']"
susah belanja di share buy ... *autosyediihh*,3,1,susah belanja share buy autosyediihh,505,0,1,0.4501,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['susah', 'belanja', 'share', 'buy', 'autosyediihh']"
"Lazada marketplace gk jelas, pengiriman dalam aplikasinya tdk jelas, membagongkan.",1,0,marketplace kirim aplikasi bagong,30,0,0,0.45,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['marketplace', 'kirim', 'aplikasi', 'bagong']"
Bisa gak jgn jd spam yg apa2 muncul di aplikasi lain,1,0,jgn spam muncul aplikasi,86,0,0,0.45,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['jangan', 'spam', 'muncul', 'aplikasi']"
Iklan web apk kesini terus,1,0,iklan web apk kesini,452,0,0,0.45,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['iklan', 'web', 'aplikasi', 'kesini']"
"aplikasinya knpa sering keluar sendiri..? dan akun juga sering logout 
sendiri",3,1,aplikasi knpa akun logout,652,0,0,0.45,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'kenapa', 'akun', 'logout']"
Pemasangan aplikasi dari play store agak lama,3,1,pasang aplikasi play store,678,0,0,0.45,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['pasang', 'aplikasi', 'play', 'toko']"
"Tapi kok saya susah buka aplikasinya dan sy udah beberapa kali download ttap aja nggak bisa,,,,mohon bantuannya.",3,1,susah aplikasi download ttap bantu,720,0,0,0.4315,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['susah', 'aplikasi', 'unduh', 'ttap', 'bantu']"
Aplikasi ribet banget,1,0,aplikasi ribet,370,0,0,0.4169,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'ribet']"
"Coba dulu deh belanja dari, walau udh lama punya aplikasinya. Moga puas!",3,1,belanja aplikasi,647,0,0,0.4168,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['belanja', 'aplikasi']"
"Mohon segera diperbaiki, aplikasi sering not respond",3,1,aplikasi respond,791,0,0,0.4168,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'respond']"
aplikasi ini bisa cod ya,2,0,aplikasi cod,198,0,0,0.4167,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'cod']"
Terjadi kesalahan koneksi terus,2,0,salah koneksi,239,0,0,0.4167,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['salah', 'koneksi']"
Blum pernah dapet bonus sama hadiah,2,0,bonus hadiah,405,0,,0.4167,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bonus', 'hadiah']"
Makin lelet aplikasinya,3,1,lelet aplikasi,708,0,,0.4167,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['lambat', 'aplikasi']"
Sangat bagus n bermanfaat sekali apa aja komplit di aplikasi ini,5,2,komplit aplikasi,918,0,,0.4167,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['komplit', 'aplikasi']"
sangat bermanfaat dan aplikasinya mudah digunakan...,5,2,aplikasi mudah,943,0,,0.4167,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'mudah']"
bagus dan mudah aplikasinya,5,2,mudah aplikasi,976,0,,0.4167,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['mudah', 'aplikasi']"
Mantul mas bro rugi kalo gak download ?????????????????? ??????????????????,5,2,rugi download,981,0,,0.4152,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['rugi', 'unduh']"
"Kata ny dapat vocer 300 Stlah di ikuti,malah gk bnar Ksh info yg bnar dong",1,0,ny vocer stlah bnar ksh info bnar,189,0,,0.4063,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['ny', 'voucher', 'stlah', 'bnar', 'ksh', 'informasi', 'bnar']"
Kenapa sih akhir2 ini shopee lemot bgd dibuka susah jaringan bermasalah terus pdhal q pake jaringan indihome.trus buay buka aplikasi blnja online lainya juga lancar ..tp knp shopee lemot bgd,3,1,lot susah jaring pdhal pake jaring indihome buay aplikasi blnja online lai lancar lot,469,0,,0.4023,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['lemot', 'susah', 'jaring', 'pdhal', 'pakai', 'jaring', 'indihome', 'buay', 'aplikasi', 'blnja', 'online', 'lai', 'lancar', 'lemot']"
Pengiriman cepat,5,2,kirim cepat,909,2,,0.7458,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['kirim', 'cepat']"
"Ngikutin Shopee dari awal. Makin seret buat user, padahal reward gold. ??",2,0,ngikutin seret user reward gold,90,0,,0.3805,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['ngikutin', 'seret', 'user', 'reward', 'gold']"
Bagus bangttt sangat memmbatu dngan adanya lzada,5,2,bangttt memmbatu dngan lzada,939,0,,0.3793,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bangttt', 'memmbatu', 'dngan', 'lzada']"
Dulu saya suka app client BL karena enteng dari app punya marketplace sebelah. Sekarang makin berat dan banyak pop up� yang bikin kita sering salah pencet jadi makin buang� waktu saja.,1,0,app client bl enteng app marketplace belah berat pop up bikin salah pencet buang,431,0,,0.3728,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'client', 'beli', 'enteng', 'aplikasi', 'marketplace', 'belah', 'berat', 'pop', 'up', 'bikin', 'salah', 'pencet', 'buang']"
"Bikin latah beli apa aja, tapi bagus saya dukung",5,2,bikin latah beli dukung,967,0,,0.3557,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bikin', 'latah', 'beli', 'dukung']"
Kecewa berat belanja di jdid mending di zilingo ok banget gak kecewa,1,0,berat belanja mending zilingo,111,0,,0.3469,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['berat', 'belanja', 'lebih baik', 'zilingo']"
Apk cct g kaya dulu udah mecah telor tpi g bisa dgunain prsan dlu bisa digunin di stip brang .dngn hrga trntu,3,1,apk cct kaya mecah telor tpi dgunain prsan digunin stip brang hrga trntu,539,0,,0.3429,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'cct', 'kaya', 'mecah', 'telor', 'tapi', 'dgunain', 'prsan', 'digunin', 'stip', 'brang', 'hrga', 'trntu']"
"Sangat membantu sekali,,, sy selalu belanja d Tokopedia,,, sy mhon krim ny jngn lm2 y,,, soal n brng ny d tunggu konsumen,,, terima kasih Tokopedia,,, semoga selalu lancr dn sukses selalu",5,2,bantu belanja mhon krim ny jngn lm brng ny tunggu konsumen lancr dn sukses,910,0,,0.3358,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bantu', 'belanja', 'mhon', 'krim', 'ny', 'jngn', 'lm', 'brng', 'ny', 'tunggu', 'konsumen', 'lancr', 'dn', 'sukses']"
aku senang belanja di tokopedia spesial ramadan,1,0,belanja spesial ramadan,231,0,,0.3204,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['belanja', 'spesial', 'ramadan']"
Bagus buat belanja onlen mantap pokonya,3,1,belanja onlen poko,618,0,,0.3126,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['belanja', 'onlen', 'poko']"
App nya sudah mantap..Makin banyakin lagi dong disc nya jd..??,5,2,app banyakin disc,851,0,,0.3125,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'banyakin', 'disc']"
Yg membuat tidak tr tarik ny untuk belanja Dlm apk ini .Hal selain lamban y pengriman brg jg pembtlan dlm hal pesann dnpengembalian dana hany mengandalkn via rek.bank atw go pay .dn memkan waktu. Apa gk diliat situs jual beli online yg lain bgtu mudh dncepat ny cara dlm pengiriman dn hal pengembalian dana. Apk btuh Upgrade lgi nmpk ny.. biar saya tr tarik lgi untk belnja di apk ini.,3,1,tr tarik ny belanja dlm apk lamban rim brg jg pembtlan dlm pesann dnpengembalian dana hany mengandalkn via rek bank atw go pay dn mem situs jual beli online bgtu mudh dncepat ny dlm kirim dn dana apk btuh upgrade nmpk ny tr tarik untk belnja apk,533,0,,0.3021,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['tr', 'tarik', 'ny', 'belanja', 'dlm', 'aplikasi', 'lamban', 'rim', 'bareng', 'juga', 'pembtlan', 'dlm', 'pesann', 'dnpengembalian', 'dana', 'hany', 'mengandalkn', 'via', 'rek', 'bank', 'atw', 'go', 'bayar', 'dn', 'mem', 'situs', 'jual', 'beli', 'online', 'bgtu', 'mudh', 'dncepat', 'ny', 'dlm', 'kirim', 'dn', 'dana', 'aplikasi', 'btuh', 'upgrade', 'nmpk', 'ny', 'tr', 'tarik', 'untk', 'belnja', 'aplikasi']"
"Buka lapak terbaik, beli platform skill Academy di bukalapak bagus, dan mudah di pahami, sertifikat nya cepat keluar di dasboard prakerja",5,2,beli platform skill academy mudah paham sertifikat cepat dasboard,934,1,1,0.9245,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['beli', 'platform', 'skill', 'academy', 'mudah', 'paham', 'sertifikat', 'cepat', 'dasboard']"
"Membeli pelatihan di skill academy melalui bukalapak, mudah di mengerti dan secara detail, semoga sukses trus ya",5,2,beli latih skill academy mudah erti detail sukses,977,1,1,0.9142,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['beli', 'latih', 'skill', 'academy', 'mudah', 'erti', 'detail', 'sukses']"
Good.... sangat membantu membuka wawasan dan pengetahuan tentang penjualan produk..tks skill academy,5,2,bantu wawas jual produk skill academy,947,1,1,0.8914,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bantu', 'wawas', 'jual', 'produk', 'skill', 'academy']"
Assalauallaikum .hallo bukalapak .saya sudah selesei mengikuti skill akademy. Trimakasih atas program progress kelasnya .trimakadih juga atas seminarnya cukup dimengerti dam dipahami . Dan trimakasih bukalapak,5,2,assalauallaikum selesei skill akademy trimakasih program progress kelas trimakadih seminar erti dam paham trimakasih,886,1,1,0.8888,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['assalauallaikum', 'selesei', 'skill', 'akademy', 'trimakasih', 'program', 'progress', 'kelas', 'trimakadih', 'seminar', 'erti', 'dam', 'paham', 'trimakasih']"
Sangat menyenangkan. Saya juga mengikuti pelatihan pra kerja melalui buka lapak. Terima kasih sangat membantu. Sehat selalu dan sukses,5,2,latih pra bantu sehat sukses,809,1,1,0.8746,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['latih', 'pra', 'bantu', 'sehat', 'sukses']"
Terimakasih bukalapak telah bekerjasama dengan program prakerja. Dan melancarkan jalannya program ini.,5,2,bekerjasama program lancar jalan program,992,1,1,0.8718,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bekerjasama', 'program', 'lancar', 'jalan', 'program']"
Apa bukalapak juga menjadi mitra pelatihan program pra kerja...?,3,1,mitra latih program pra,512,1,1,0.85,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mitra', 'latih', 'program', 'pra']"
Terimksh bukalapk. Berjln dgn lncar,3,1,terimksh bukalapk berjln lncar,516,1,1,0.8499,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['terimksh', 'bukalapk', 'berjln', 'lncar']"
"Belanja mudah,murah dan dpt dipercaya...",3,1,belanja mudah murah percaya,571,1,1,0.8499,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['belanja', 'mudah', 'murah', 'percaya']"
Mitra kerja yang bagus untuk penyediaan materi pelatihan prakerja,5,2,mitra sedia materi latih,899,1,1,0.8494,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mitra', 'sedia', 'materi', 'latih']"
"Belanja cepat, hemat, aman..",5,2,belanja cepat hemat aman,819,1,1,0.8493,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['belanja', 'cepat', 'hemat', 'aman']"
Transaksi belanja yg praktis dan murah,5,2,transaksi belanja praktis murah,812,1,1,0.8489,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['transaksi', 'belanja', 'praktis', 'murah']"
Sangat membantu jualan dan berbelanja online,5,2,bantu jual belanja online,916,1,1,0.8477,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bantu', 'jual', 'belanja', 'online']"
sangat membantu mempermudah.khususnya dalam pemilihan pelatihan prakerja,5,2,bantu mudah pilih latih,841,1,1,0.8476,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bantu', 'mudah', 'pilih', 'latih']"
"Terimakasih tokopedia, saya sudah membeli pelatihan di tokopedia dengan lancar luncur",5,2,beli latih lancar luncur,805,1,2,0.8467,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['beli', 'latih', 'lancar', 'luncur']"
Semua traksaksi aman dan mudah. Terima kasih buka lapak,5,2,traksaksi aman mudah,813,1,1,0.8125,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['traksaksi', 'aman', 'mudah']"
"Maju sukses terus buat Lazada, mudah2an semakin baik semuanya",5,2,maju sukses mudah,814,1,1,0.8125,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['maju', 'sukses', 'mudah']"
Mudah dan lengkap belanja di tokopedia,5,2,mudah lengkap belanja,845,1,1,0.8125,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mudah', 'lengkap', 'belanja']"
Terimakasih saya ucapkan atas ilmu dan motivasi yang diberikan kepada saya yang sangat bermanfaat. Trimakasih,5,2,ilmu motivasi trimakasih,922,1,1,0.8125,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['ilmu', 'motivasi', 'trimakasih']"
Mudah mencari apa yg dibutuhkan,5,2,mudah cari butuh,839,1,1,0.812,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mudah', 'cari', 'butuh']"
semuga pelayanan nya di tingkat kan lagi,3,1,semuga layan tingkat,544,1,1,0.8119,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['semuga', 'layan', 'tingkat']"
Sangat membantu..mudah dan sangat terpercaya,5,2,bantu mudah percaya,852,1,1,0.8118,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bantu', 'mudah', 'percaya']"
"Sangat membantu dalam belanja online,terima kasih Tokopedia",5,2,bantu belanja online,887,1,1,0.8118,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bantu', 'belanja', 'online']"
"serba mudah, gak ribet........",5,2,serba mudah ribet,953,1,1,0.8118,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['serba', 'mudah', 'ribet']"
"bagus dan mudah, praktis juga transaksinya",3,1,mudah praktis transaksi,657,1,1,0.8107,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mudah', 'praktis', 'transaksi']"
semoga toko pedia lebih maju lagi dan lebih baik dalam pelayanan,5,2,toko maju layan,800,1,1,0.8107,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['toko', 'maju', 'layan']"
Sangat mudah untuk membeli pelatihan prakerja di sini,5,2,mudah beli latih,843,1,1,0.809,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mudah', 'beli', 'latih']"
Good buat beli pelatihan sangat mudah,5,2,beli latih mudah,855,1,1,0.809,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['beli', 'latih', 'mudah']"
senang dgn tokopedia dr dulu.mudah menggunakanx dan terpercaya...,5,2,mudah menggunakanx percaya,935,1,1,0.809,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mudah', 'menggunakanx', 'percaya']"
proses cepat dalam hal setiap transaksi,5,2,proses cepat transaksi,907,1,1,0.8075,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['proses', 'cepat', 'transaksi']"
Mempermudah pembelian produk .,5,2,mudah beli produk,971,1,1,0.8061,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mudah', 'beli', 'produk']"
